Country,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Active,Case_Fatality_Ratio
Afghanistan,2021-03-19 05:26:09,56044,2462,49664.0,143.96709071162314,3918.0,4.3929769466847475
Albania,2021-03-19 05:26:09,119528,2106,83264.0,4153.4505525053855,34158.0,1.7619302590188073
Algeria,2021-03-19 05:26:09,115842,3051,80347.0,264.1715956448288,32444.0,2.633759776246957
Andorra,2021-03-19 05:26:09,11393,113,10904.0,14745.356888630042,376.0,0.9918370929518125
Angola,2021-03-19 05:26:09,21558,522,20032.0,65.59308772142916,1004.0,2.4213748956303927
Antigua and Barbuda,2021-03-19 05:26:09,1008,27,598.0,1029.3276693080632,383.0,2.6785714285714284
Argentina,2021-03-19 05:26:09,2226753,54386,2009877.0,4926.905007076214,162490.0,2.442390332470642
Armenia,2021-03-19 05:26:09,181165,3301,167186.0,6113.759493850301,10678.0,1.822095879446913
Australia,2021-03-19 05:26:09,29183,909,22963.0,73.58419456248973,5311.0,3.114827125381215
Austria,2021-03-19 05:26:09,504581,8982,465984.0,5602.471575768343,29615.0,1.7800908080169486
Azerbaijan,2021-03-19 05:26:09,243424,3314,231894.0,2400.826497224873,8216.0,1.3614105429209937
Bahamas,2021-03-19 05:26:09,8800,186,7676.0,2237.7736186833754,938.0,2.1136363636363638
Bahrain,2021-03-19 05:26:09,133779,491,126703.0,7862.03200196523,6585.0,0.3670232248708691
Bangladesh,2021-03-19 05:26:09,564939,8624,517223.0,343.0330417838775,39092.0,1.5265364933205179
Barbados,2021-03-19 05:26:09,3492,39,3285.0,1215.1539299372591,168.0,1.1168384879725086
Belarus,2021-03-19 05:26:09,306524,2130,297502.0,3243.8732899432666,6892.0,0.6948884916026151
Belgium,2021-03-19 05:26:09,807390,0,0.0,7311.7268105215035,807390.0,0.0
Belize,2021-03-19 05:26:09,12399,316,12024.0,3118.2960658516527,59.0,2.5485926284377776
Benin,2021-03-19 05:26:09,6501,81,5552.0,53.62446443586915,868.0,1.2459621596677435
Bhutan,2021-03-19 05:26:09,868,1,867.0,112.4917704753166,0.0,0.1152073732718894
Bolivia,2021-03-19 05:26:09,262941,12028,209842.0,2252.55158708164,41071.0,4.5744102289106685
Bosnia and Herzegovina,2021-03-19 05:26:09,149891,5729,122680.0,4568.712347389292,21482.0,3.8221107337998945
Botswana,2021-03-19 05:26:09,35493,458,31128.0,1509.2967628767344,3907.0,1.2903952892119572
Brazil,2021-03-19 05:26:09,11780820,287499,10383496.0,6919.20711692674,1109825.0,2.44039888564633
Brunei,2021-03-19 05:26:09,203,3,186.0,46.40180304148962,14.0,1.477832512315271
Bulgaria,2021-03-19 05:26:09,295777,11817,232041.0,4256.736579191459,51919.0,3.9952396569036805
Burkina Faso,2021-03-19 05:26:09,12450,145,11998.0,59.56003646892128,307.0,1.1646586345381527
Burma,2021-03-19 05:26:09,142212,3204,131754.0,261.37206106679986,7254.0,2.2529744325373384
Burundi,2021-03-19 05:26:09,2542,3,773.0,21.377906127444447,1766.0,0.11801730920535011
Cabo Verde,2021-03-19 05:26:09,16298,158,15646.0,2931.358230753182,494.0,0.9694441035709903
Cambodia,2021-03-19 05:26:09,1578,1,917.0,9.43837990986407,660.0,0.06337135614702154
Cameroon,2021-03-19 05:26:09,40622,601,35261.0,153.02572182242778,4760.0,1.4794938703165772
Canada,2021-03-19 05:26:09,928257,22576,873589.0,1358.983919192092,32092.0,2.4320850798862814
Central African Republic,2021-03-19 05:26:09,5075,64,4938.0,105.07759799443616,73.0,1.2610837438423645
Chad,2021-03-19 05:26:09,4380,157,3864.0,26.66527211757997,359.0,3.584474885844749
Chile,2021-03-19 05:26:09,911418,21987,854776.0,5703.950432700991,34655.0,2.4123947519140505
China,2021-03-19 05:26:09,101481,4839,96152.0,9.930107836247876,490.0,4.768380287935672
Colombia,2021-03-19 05:26:09,2319293,61636,2216945.0,3788.5198794955554,40712.0,2.657533998507304
Comoros,2021-03-19 05:26:09,3657,146,3465.0,420.5405964845704,46.0,3.992343450916051
Congo (Brazzaville),2021-03-19 05:26:09,9564,134,7514.0,173.3207782690104,1916.0,1.4010874111250522
Congo (Kinshasa),2021-03-19 05:26:09,27290,726,24361.0,30.470714818182174,2203.0,2.660315133748626
Costa Rica,2021-03-19 05:26:09,210447,2886,189682.0,4131.179632022368,17879.0,1.3713666623900553
Cote d'Ivoire,2021-03-19 05:26:09,38923,215,35923.0,147.55703320251232,2785.0,0.5523726331474963
Croatia,2021-03-19 05:26:09,254507,5726,242665.0,6199.522174922564,6116.0,2.2498398865257143
Cuba,2021-03-19 05:26:09,64414,384,60378.0,568.6958929304216,3652.0,0.5961436954699288
Cyprus,2021-03-19 05:26:09,41111,241,2057.0,3405.029647305156,38813.0,0.5862178005886503
Czechia,2021-03-19 05:26:09,1439019,24117,1215544.0,13437.495739557691,199358.0,1.675933396292891
Denmark,2021-03-19 05:26:09,224107,2398,212650.0,1754.8262693307172,9059.0,1.0700245864698559
Djibouti,2021-03-19 05:26:09,6452,63,6022.0,653.0351153135317,367.0,0.9764414135151891
Dominica,2021-03-19 05:26:09,156,0,141.0,216.69375338583995,15.0,0.0
Dominican Republic,2021-03-19 05:26:09,247979,3257,204188.0,2285.9623388997547,40534.0,1.313417668431601
Ecuador,2021-03-19 05:26:09,307429,16333,263164.0,1742.4925154706723,27932.0,5.312771404129083
Egypt,2021-03-19 05:26:09,193482,11472,148823.0,189.0683820181176,33187.0,5.929233727168419
El Salvador,2021-03-19 05:26:09,62531,1962,59576.0,964.0620141127296,993.0,3.1376437287105596
Equatorial Guinea,2021-03-19 05:26:09,6666,100,6121.0,475.1298125069049,445.0,1.5001500150015001
Eritrea,2021-03-19 05:26:09,3095,7,2833.0,87.27093494381809,255.0,0.22617124394184168
Estonia,2021-03-19 05:26:09,91031,758,64690.0,6862.293532267049,25583.0,0.8326833715986862
Eswatini,2021-03-19 05:26:09,17267,664,15936.0,1488.324064528808,667.0,3.8454856083859386
Ethiopia,2021-03-19 05:26:09,181869,2602,145349.0,158.19705271364063,33918.0,1.430700119316651
Fiji,2021-03-19 05:26:09,67,2,64.0,7.473974949913213,1.0,2.9850746268656714
Finland,2021-03-19 05:26:09,69497,805,46000.0,1254.2959233803274,22692.0,1.158323380865361
France,2021-03-19 05:26:09,4241973,91833,285055.0,3776.187122106178,3865085.0,2.16486526434751
Gabon,2021-03-19 05:26:09,17297,105,15102.0,777.1389855364177,2090.0,0.6070416835289356
Gambia,2021-03-19 05:26:09,5122,160,4686.0,211.9450614566196,276.0,3.1237797735259663
Georgia,2021-03-19 05:26:09,276436,3674,269384.0,6929.653374444592,3378.0,1.3290598908969888
Germany,2021-03-19 05:26:09,2630002,74402,2405600.0,3088.49315242995,150000.0,2.828971232721496
Ghana,2021-03-19 05:26:09,88421,705,84095.0,284.5594455240725,3621.0,0.7973219031677995
Greece,2021-03-19 05:26:09,230317,7297,93764.0,2209.6878305172686,129256.0,3.1682420316346596
Grenada,2021-03-19 05:26:09,154,1,151.0,136.8657737804282,2.0,0.6493506493506493
Guatemala,2021-03-19 05:26:09,185832,6639,170059.0,1037.265524445863,9134.0,3.5725816866847477
Guinea,2021-03-19 05:26:09,18285,106,15801.0,139.23162721224855,2378.0,0.5797101449275363
Guinea-Bissau,2021-03-19 05:26:09,3518,54,2806.0,178.76034426864254,658.0,1.534963047185901
Guyana,2021-03-19 05:26:09,9442,212,8430.0,1200.4185318583854,800.0,2.245287015462826
Haiti,2021-03-19 05:26:09,12686,251,10443.0,111.25598145605016,1992.0,1.97855904146303
Holy See,2021-03-19 05:26:09,27,0,15.0,3337.453646477132,12.0,0.0
Honduras,2021-03-19 05:26:09,180796,4402,69008.0,1825.37259425108,107386.0,2.4347883802738997
Hungary,2021-03-19 05:26:09,539080,17628,360895.0,5580.336116186267,160557.0,3.2700155821028423
Iceland,2021-03-19 05:26:09,6091,29,6030.0,1784.9084249084246,32.0,0.4761122968313906
India,2021-03-19 05:26:09,11514331,159370,11083679.0,1181.3464423791831,271282.0,1.3841012560781862
Indonesia,2021-03-19 05:26:09,1443853,39142,1272958.0,527.8714118807311,131753.0,2.7109407952194577
Iran,2021-03-19 05:26:09,1778645,61581,1521377.0,2117.612176345318,195687.0,3.462242324915877
Iraq,2021-03-19 05:26:09,779458,13896,702667.0,1937.865477939053,62895.0,1.7827772631751806
Ireland,2021-03-19 05:26:09,228796,4566,23364.0,4633.565258670063,200866.0,1.995664259864683
Israel,2021-03-19 05:26:09,825562,6069,798096.0,9537.959556774094,21397.0,0.7351355803682824
Italy,2021-03-19 05:26:09,3306711,103855,2655346.0,5445.193569721892,547510.0,3.140734101044815
Jamaica,2021-03-19 05:26:09,33366,511,15615.0,1126.7877700672134,17240.0,1.5314991308517651
Japan,2021-03-19 05:26:09,449819,8748,427501.0,209.2498302999488,13570.0,1.944782234632152
Jordan,2021-03-19 05:26:09,514107,5627,416971.0,5038.713572488469,91509.0,1.094519234322816
Kazakhstan,2021-03-19 05:26:09,279220,3199,255433.0,1487.0552115448145,20588.0,1.1456915693718215
Kenya,2021-03-19 05:26:09,117535,1954,89203.0,218.58314751549617,26378.0,1.6624835155485602
"Korea, South",2021-03-19 05:26:09,97757,1690,89523.0,190.6739961118553,6544.0,1.7287764559059708
Kosovo,2021-03-19 05:26:09,78340,1723,65596.0,4327.301772127846,11021.0,2.1993872861884096
Kuwait,2021-03-19 05:26:09,215067,1202,199549.0,5036.033890613486,14316.0,0.5588955999758215
Kyrgyzstan,2021-03-19 05:26:09,87143,1485,84031.0,1335.6905093673686,1627.0,1.7040955670564475
Laos,2021-03-19 05:26:09,49,0,45.0,0.6734880468241877,4.0,0.0
Latvia,2021-03-19 05:26:09,95902,1801,85465.0,5084.39711123199,8636.0,1.8779587495568393
Lebanon,2021-03-19 05:26:09,430734,5609,337975.0,6310.712185379351,87150.0,1.302195786726843
Lesotho,2021-03-19 05:26:09,10530,309,3922.0,491.53881056010215,6299.0,2.9344729344729346
Liberia,2021-03-19 05:26:09,2042,85,1899.0,40.37426668409232,58.0,4.16258570029383
Libya,2021-03-19 05:26:09,149207,2435,136158.0,2171.456380733333,10614.0,1.631960966978761
Liechtenstein,2021-03-19 05:26:09,2620,56,2526.0,6869.96879670661,38.0,2.1374045801526718
Lithuania,2021-03-19 05:26:09,207469,3442,192922.0,7621.117654211103,11105.0,1.659043037755038
Luxembourg,2021-03-19 05:26:09,58674,705,54935.0,9373.202806497373,3034.0,1.2015543511606503
Madagascar,2021-03-19 05:26:09,21999,338,20750.0,79.44453037282594,911.0,1.5364334742488295
Malawi,2021-03-19 05:26:09,33045,1091,27532.0,172.7395595023616,4422.0,3.3015584808594336
Malaysia,2021-03-19 05:26:09,328466,1223,312461.0,1014.8489782394472,14782.0,0.37233686287165185
Maldives,2021-03-19 05:26:09,22147,64,19642.0,4097.1839376033695,2441.0,0.2889781911771346
Mali,2021-03-19 05:26:09,9118,366,6574.0,45.02530611825665,2178.0,4.014038166264531
Malta,2021-03-19 05:26:09,27515,363,24118.0,6231.612609531661,3034.0,1.3192803925131746
Marshall Islands,2021-03-19 05:26:09,4,0,4.0,6.8477907315152455,0.0,0.0
Mauritania,2021-03-19 05:26:09,17542,445,16839.0,377.2748975193885,258.0,2.5367688975031353
Mauritius,2021-03-19 05:26:09,768,10,592.0,60.3884202059025,166.0,1.3020833333333335
Mexico,2021-03-19 05:26:09,2182188,196606,0.0,1638.610409272307,1985582.0,9.009581209318354
Micronesia,2021-03-19 05:26:09,1,0,1.0,0.8786188112287484,0.0,0.0
Moldova,2021-03-19 05:26:09,210725,4472,183520.0,5223.771264139012,22733.0,2.1221971764147582
Monaco,2021-03-19 05:26:09,2149,27,1960.0,5475.996330649271,162.0,1.2563983248022337
Mongolia,2021-03-19 05:26:09,4658,4,3286.0,142.08618390308123,1368.0,0.08587376556462001
Montenegro,2021-03-19 05:26:09,85774,1178,76200.0,13656.931958946729,8396.0,1.3733765476717885
Morocco,2021-03-19 05:26:09,490575,8748,477879.0,1329.0912589292202,3948.0,1.783213575905825
Mozambique,2021-03-19 05:26:09,65452,737,52363.0,209.40997941637988,12352.0,1.1260160117337896
Namibia,2021-03-19 05:26:09,41684,483,39105.0,1640.5107449439492,2096.0,1.1587179733230974
Nepal,2021-03-19 05:26:09,275625,3015,271610.0,945.9684121884592,1000.0,1.0938775510204082
Netherlands,2021-03-19 05:26:09,1193726,16321,15156.0,5721.287363883299,1162249.0,1.3672316762808217
New Zealand,2021-03-19 05:26:09,2444,26,2363.0,50.68191437452317,55.0,1.0638297872340425
Nicaragua,2021-03-19 05:26:09,6582,176,4225.0,99.35763222701485,2181.0,2.6739592828927377
Niger,2021-03-19 05:26:09,4906,185,4529.0,20.2671697132968,192.0,3.770892784345699
Nigeria,2021-03-19 05:26:09,161409,2027,146890.0,78.30082632308756,12492.0,1.255815970608826
North Macedonia,2021-03-19 05:26:09,116438,3403,99126.0,5588.898808666686,13909.0,2.922585410261255
Norway,2021-03-19 05:26:09,84553,648,17998.0,1559.6610518401503,65907.0,0.7663832152614337
Oman,2021-03-19 05:26:09,149135,1620,137871.0,2920.423716499871,9644.0,1.0862641231099341
Pakistan,2021-03-19 05:26:09,619259,13757,578314.0,629.0366346942126,27188.0,2.2215260496819584
Panama,2021-03-19 05:26:09,349505,6025,338181.0,8100.203765300937,5299.0,1.7238666113503383
Papua New Guinea,2021-03-19 05:26:09,2479,31,846.0,27.70752787490191,1602.0,1.2505042355788625
Paraguay,2021-03-19 05:26:09,188493,3620,155244.0,2642.722848694643,29629.0,1.9204957213265212
Peru,2021-03-19 05:26:09,1435598,49523,0.0,4139.830643901362,1386075.0,3.4496425879668267
Philippines,2021-03-19 05:26:09,640984,12887,561530.0,584.940366305006,66567.0,2.010502602249042
Poland,2021-03-19 05:26:09,1984248,48388,1603832.0,5242.869208479862,332028.0,2.4386064645145162
Portugal,2021-03-19 05:26:09,816055,16743,764599.0,8003.122969013428,34713.0,2.0516999466947694
Qatar,2021-03-19 05:26:09,172200,270,159472.0,5976.96681082657,12458.0,0.156794425087108
Romania,2021-03-19 05:26:09,881159,21877,794950.0,4580.380318169309,64332.0,2.482752828944606
Russia,2021-03-19 05:26:09,4378656,92266,3991385.0,3087.3835389326605,295005.0,2.107176265959235
Rwanda,2021-03-19 05:26:09,20551,284,19007.0,158.66791525677203,1260.0,1.3819278867208409
Saint Kitts and Nevis,2021-03-19 05:26:09,44,0,42.0,82.7192058956234,2.0,0.0
Saint Lucia,2021-03-19 05:26:09,4097,55,3880.0,2231.1290700270656,162.0,1.3424456919697338
Saint Vincent and the Grenadines,2021-03-19 05:26:09,1684,9,1506.0,1517.8418524160184,169.0,0.5344418052256532
Samoa,2021-03-19 05:26:09,3,0,2.0,1.5295977158007443,1.0,0.0
San Marino,2021-03-19 05:26:09,4292,78,3758.0,12646.590842123873,456.0,1.8173345759552657
Sao Tome and Principe,2021-03-19 05:26:09,2114,34,1920.0,964.5876775521192,160.0,1.608325449385052
Saudi Arabia,2021-03-19 05:26:09,383880,6591,373601.0,1102.664061995756,3688.0,1.7169427946233198
Senegal,2021-03-19 05:26:09,37428,995,33643.0,223.5317515063668,2790.0,2.658437533397456
Serbia,2021-03-19 05:26:09,536904,4840,0.0,6144.915460830891,532064.0,0.9014646938745102
Seychelles,2021-03-19 05:26:09,3566,16,2962.0,3626.194834248525,588.0,0.448681996634885
Sierra Leone,2021-03-19 05:26:09,3947,79,2789.0,49.4798473358042,1079.0,2.001520141879909
Singapore,2021-03-19 05:26:09,60152,30,60014.0,1028.1790315542182,108.0,0.049873653411357896
Slovakia,2021-03-19 05:26:09,344470,8814,255300.0,6309.386895809855,80356.0,2.558713385781055
Slovenia,2021-03-19 05:26:09,203544,3951,189333.0,9790.796428166,10260.0,1.9411036434382738
Solomon Islands,2021-03-19 05:26:09,18,0,16.0,2.75710797753876,2.0,0.0
Somalia,2021-03-19 05:26:09,9600,392,4329.0,60.40311909123004,4879.0,4.083333333333333
South Africa,2021-03-19 05:26:09,1533961,51724,1459894.0,2586.40175663971,22343.0,3.3719240580431964
South Sudan,2021-03-19 05:26:09,9768,106,8215.0,87.26314528429266,1447.0,1.0851760851760852
Spain,2021-03-19 05:26:09,3212332,72910,150376.0,6708.478350297873,2989046.0,2.269690679543708
Sri Lanka,2021-03-19 05:26:09,89024,537,85944.0,415.7425892846719,2543.0,0.6032081236520489
Sudan,2021-03-19 05:26:09,30989,1959,23583.0,70.67164563222249,5447.0,6.3215979863822644
Suriname,2021-03-19 05:26:09,9049,176,8534.0,1542.5290726415449,339.0,1.94496629461819
Sweden,2021-03-19 05:26:09,738537,13236,0.0,6542.814591173324,725301.0,1.792191860394266
Switzerland,2021-03-19 05:26:09,578861,10183,317600.0,6688.463892918208,251078.0,1.7591442505195547
Syria,2021-03-19 05:26:09,16925,1130,11322.0,96.71065491998388,4473.0,6.676514032496307
Taiwan*,2021-03-19 05:26:09,998,10,958.0,4.190323836875479,30.0,1.002004008016032
Tajikistan,2021-03-19 05:26:09,13308,90,13218.0,139.5313432817042,0.0,0.6762849413886384
Tanzania,2021-03-19 05:26:09,509,21,183.0,0.852107987092757,305.0,4.12573673870334
Thailand,2021-03-19 05:26:09,27494,89,26377.0,39.3896972288444,1028.0,0.32370699061613445
Timor-Leste,2021-03-19 05:26:09,229,0,110.0,17.368985514721164,119.0,0.0
Togo,2021-03-19 05:26:09,8582,102,7078.0,103.6631553822763,1402.0,1.1885341412258215
Trinidad and Tobago,2021-03-19 05:26:09,7812,140,7549.0,558.2029466427437,123.0,1.7921146953405016
Tunisia,2021-03-19 05:26:09,243935,8490,210983.0,2063.9892075367866,24462.0,3.480435361879189
Turkey,2021-03-19 05:26:09,2950603,29777,2770638.0,3498.5008786023213,150188.0,1.0091835465496375
Uganda,2021-03-19 05:26:09,40625,334,15110.0,88.81528606720448,25181.0,0.822153846153846
Ukraine,2021-03-19 05:26:09,1553659,30811,1289841.0,3648.129252824134,233007.0,1.983124997184067
United Arab Emirates,2021-03-19 05:26:09,434465,1424,416105.0,4392.795033567904,16936.0,0.3277594282623456
United Kingdom,2021-03-19 05:26:09,4294328,126163,12086.0,3361.008149200631,4156079.0,2.9378985489697107
Uruguay,2021-03-19 05:26:09,76816,749,64492.0,2211.3424572512467,11575.0,0.9750572797333888
Uzbekistan,2021-03-19 05:26:09,80971,622,79533.0,241.9269131597682,816.0,0.7681762606365242
Vanuatu,2021-03-19 05:26:09,3,0,1.0,1.0250102501025011,2.0,0.0
Venezuela,2021-03-19 05:26:09,148208,1467,139314.0,521.1995255441326,7427.0,0.9898251106552952
Vietnam,2021-03-19 05:26:09,2570,35,2198.0,2.640268556200372,337.0,1.3618677042801557
West Bank and Gaza,2021-03-19 05:26:09,218061,2358,193578.0,4274.519074703964,22125.0,1.0813487968962814
Yemen,2021-03-19 05:26:09,3126,723,1520.0,10.480799818466917,883.0,23.128598848368522
Zambia,2021-03-19 05:26:09,85889,1175,82527.0,467.19541756953726,2187.0,1.3680448020118992
Zimbabwe,2021-03-19 05:26:09,36611,1509,34226.0,246.32429399673435,876.0,4.121712053754336
